match_id,match,team,bowler_name,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,no_balls
T20I # 1846,Ireland Vs England,Ireland,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0
T20I # 1846,Ireland Vs England,Ireland,Josh Little,3,0,16,2,5.33,11,2,0,2,0
T20I # 1846,Ireland Vs England,Ireland,Mark Adair,2,0,10,0,5.00,5,0,0,0,0
T20I # 1846,Ireland Vs England,Ireland,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0
T20I # 1846,Ireland Vs England,Ireland,Fionn Hand,2,0,17,1,8.50,6,1,0,4,0
T20I # 1846,Ireland Vs England,Ireland,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0
T20I # 1846,Ireland Vs England,Ireland,George Dockrell,1,0,5,1,5.00,2,0,0,0,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3
T20I # 1847,South Africa Vs Bangladesh,South Africa,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1
T20I # 1847,South Africa Vs Bangladesh,South Africa,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0
T20I # 1847,South Africa Vs Bangladesh,South Africa,Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0
T20I # 1848,India Vs Netherlands,India,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0
T20I # 1848,India Vs Netherlands,India,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0
T20I # 1848,India Vs Netherlands,India,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0
T20I # 1848,India Vs Netherlands,India,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0
T20I # 1848,India Vs Netherlands,India,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0
T20I # 1848,India Vs Netherlands,India,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0
T20I # 1848,India Vs Netherlands,India,Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0
T20I # 1848,India Vs Netherlands,India,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1
T20I # 1848,India Vs Netherlands,India,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0
T20I # 1848,India Vs Netherlands,India,Axar Patel,4,0,18,2,4.50,11,0,0,0,0
T20I # 1848,India Vs Netherlands,India,Hardik Pandya,1,0,9,0,9.00,1,0,0,1,0
T20I # 1848,India Vs Netherlands,India,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Naseem Shah,4,0,34,0,8.50,7,4,0,2,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Haris Rauf,4,1,12,1,3.00,15,0,0,0,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Richard Ngarava,4,0,24,0,6.00,15,2,1,2,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Blessing Muzarabani,4,0,18,1,4.50,11,1,0,0,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Brad Evans,4,0,25,2,6.25,12,2,1,0,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Luke Jongwe,1,0,10,1,10.00,2,2,0,0,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Sean Williams,2,0,15,0,7.50,1,0,0,1,0
T20I # 1849,Zimbabwe Vs Pakistan,Zimbabwe,Ryan Burl,1,0,7,0,7.00,0,0,0,0,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Wanindu Hasaranga,4,0,22,1,5.50,9,1,0,0,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Tim Southee,4,1,12,1,3.00,18,0,1,1,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Trent Boult,4,0,13,4,3.25,18,1,0,1,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0
T20I # 1850,New Zealand Vs Sri Lanka,New Zealand,Ish Sodhi,3.2,0,21,2,6.30,11,2,1,1,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Brad Evans,3,0,32,0,10.66,2,3,1,1,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Sean Williams,2,0,10,1,5.00,4,0,0,1,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Hasan Mahmud,4,0,36,0,9.00,8,5,0,3,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Mosaddek Hossain,4,0,34,2,8.50,11,3,2,0,1
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0
T20I # 1851,Bangladesh Vs Zimbabwe,Bangladesh,Shakib Al Hasan,4,0,34,0,8.50,5,3,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Mohammad Wasim,3,0,15,2,5.00,10,1,0,1,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Shadab Khan,4,0,22,3,5.50,11,2,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Mohammad Nawaz,2,0,11,0,5.50,3,0,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Tim Pringle,1,0,12,0,12.00,1,2,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Logan van Beek,2,0,9,0,4.50,5,0,0,0,0
T20I # 1852,Netherlands Vs Pakistan,Netherlands,Roelof van der Merwe,1,0,7,0,7.00,1,0,0,0,0
T20I # 1853,India Vs South Africa,India,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0
T20I # 1853,India Vs South Africa,India,Kagiso Rabada,4,0,26,0,6.50,13,2,1,1,0
T20I # 1853,India Vs South Africa,India,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0
T20I # 1853,India Vs South Africa,India,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0
T20I # 1853,India Vs South Africa,India,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0
T20I # 1853,India Vs South Africa,India,Aiden Markram,1,0,5,0,5.00,1,0,0,0,0
T20I # 1853,India Vs South Africa,India,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0
T20I # 1853,India Vs South Africa,India,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0
T20I # 1853,India Vs South Africa,India,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0
T20I # 1853,India Vs South Africa,India,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0
T20I # 1853,India Vs South Africa,India,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0
T20I # 1855,Australia Vs Ireland,Australia,Josh Little,4,0,21,2,5.25,13,2,0,2,0
T20I # 1855,Australia Vs Ireland,Australia,Mark Adair,4,0,59,0,14.75,6,7,2,6,0
T20I # 1855,Australia Vs Ireland,Australia,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0
T20I # 1855,Australia Vs Ireland,Australia,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0
T20I # 1855,Australia Vs Ireland,Australia,Fionn Hand,1,0,15,0,15.00,2,0,2,1,0
T20I # 1855,Australia Vs Ireland,Australia,George Dockrell,4,0,24,0,6.00,8,0,1,0,0
T20I # 1855,Australia Vs Ireland,Australia,Josh Hazlewood,3,0,24,0,8.00,8,1,2,1,0
T20I # 1855,Australia Vs Ireland,Australia,Pat Cummins,4,0,28,2,7.00,14,3,1,1,0
T20I # 1855,Australia Vs Ireland,Australia,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0
T20I # 1855,Australia Vs Ireland,Australia,Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1
T20I # 1855,Australia Vs Ireland,Australia,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0
T20I # 1855,Australia Vs Ireland,Australia,Marcus Stoinis,1,0,6,1,6.00,2,0,0,0,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Pramod Madushan,3,0,24,0,8.00,7,2,1,0,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Lahiru Kumara,4,0,30,2,7.50,12,2,1,4,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Wanindu Hasaranga,4,0,13,3,3.25,12,0,0,0,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Dhananjaya de Silva,1,0,9,1,9.00,1,1,0,0,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Mujeeb Ur Rahman,4,0,24,2,6.00,12,3,0,0,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Fareed Ahmad,2,0,25,0,12.50,3,3,1,1,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Azmatullah Omarzai,2,0,17,0,8.50,2,1,0,1,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Mohammad Nabi,2,0,16,0,8.00,2,0,1,0,0
T20I # 1856,Afghanistan Vs Sri Lanka,Afghanistan,Gulbadin Naib,1,0,12,0,12.00,1,2,0,0,0
T20I # 1858,England Vs New Zealand,England,Trent Boult,4,0,40,0,10.00,8,4,1,1,0
T20I # 1858,England Vs New Zealand,England,Tim Southee,4,0,43,1,10.75,9,3,3,0,0
T20I # 1858,England Vs New Zealand,England,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0
T20I # 1858,England Vs New Zealand,England,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1
T20I # 1858,England Vs New Zealand,England,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0
T20I # 1858,England Vs New Zealand,England,Moeen Ali,1,0,4,0,4.00,3,0,0,0,0
T20I # 1858,England Vs New Zealand,England,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0
T20I # 1858,England Vs New Zealand,England,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0
T20I # 1858,England Vs New Zealand,England,Sam Curran,4,0,26,2,6.50,9,0,0,2,0
T20I # 1858,England Vs New Zealand,England,Mark Wood,3,0,25,1,8.33,8,2,1,1,0
T20I # 1858,England Vs New Zealand,England,Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0
T20I # 1858,England Vs New Zealand,England,Ben Stokes,1,0,10,1,10.00,2,2,0,0,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Bas de Leede,4,0,14,2,3.50,11,0,0,0,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Roelof van der Merwe,1,0,8,0,8.00,2,1,0,0,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Tendai Chatara,4,0,22,0,5.50,14,4,0,0,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Richard Ngarava,4,0,18,2,4.50,15,1,1,0,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Sean Williams,3,0,21,0,7.00,8,2,1,0,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Sikandar Raza,1,0,6,0,6.00,0,0,0,0,0
T20I # 1859,Zimbabwe Vs Netherlands,Zimbabwe,Luke Jongwe,2,0,25,1,12.50,3,4,0,3,1
T20I # 1860,India Vs Bangladesh,India,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0
T20I # 1860,India Vs Bangladesh,India,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2
T20I # 1860,India Vs Bangladesh,India,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1
T20I # 1860,India Vs Bangladesh,India,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0
T20I # 1860,India Vs Bangladesh,India,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0
T20I # 1860,India Vs Bangladesh,India,Bhuvneshwar Kumar,3,0,27,0,9.00,7,2,2,0,0
T20I # 1860,India Vs Bangladesh,India,Arshdeep Singh,4,0,38,2,9.50,10,5,1,0,0
T20I # 1860,India Vs Bangladesh,India,Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0
T20I # 1860,India Vs Bangladesh,India,Axar Patel,1,0,6,0,6.00,2,0,0,0,0
T20I # 1860,India Vs Bangladesh,India,Ravichandran Ashwin,2,0,19,0,9.50,4,3,0,1,0
T20I # 1860,India Vs Bangladesh,India,Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Kagiso Rabada,4,0,44,1,11.00,7,4,2,0,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Lungi Ngidi,4,0,32,1,8.00,11,3,1,2,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1
T20I # 1861,Pakistan Vs South Africa,Pakistan,Tabraiz Shamsi,4,0,36,1,9.00,8,2,2,2,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Naseem Shah,3,0,19,1,6.33,10,1,1,1,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Haris Rauf,3,0,44,1,14.66,2,7,1,1,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Mohammad Wasim,2,0,13,1,6.50,3,1,0,0,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Shadab Khan,2,0,16,2,8.00,5,1,1,0,0
T20I # 1861,Pakistan Vs South Africa,Pakistan,Mohammad Nawaz,1,0,2,0,2.00,4,0,0,0,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Josh Little,4,0,22,3,5.50,10,2,0,1,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Mark Adair,4,0,39,1,9.75,9,3,1,3,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Gareth Delany,4,0,30,2,7.50,11,3,1,1,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Fionn Hand,2,0,22,0,11.00,2,2,1,0,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,George Dockrell,2,0,18,0,9.00,4,2,0,2,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Trent Boult,4,0,38,0,9.50,8,4,1,0,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Tim Southee,4,0,29,2,7.25,8,2,1,0,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Lockie Ferguson,4,0,22,3,5.50,10,1,0,0,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Mitchell Santner,4,0,26,2,6.50,12,3,1,0,0
T20I # 1862,New Zealand Vs Ireland,New Zealand,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0
T20I # 1864,Australia Vs Afghanistan,Australia,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0
T20I # 1864,Australia Vs Afghanistan,Australia,Mujeeb Ur Rahman,4,0,42,1,10.50,5,4,1,1,0
T20I # 1864,Australia Vs Afghanistan,Australia,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0
T20I # 1864,Australia Vs Afghanistan,Australia,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0
T20I # 1864,Australia Vs Afghanistan,Australia,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0
T20I # 1864,Australia Vs Afghanistan,Australia,Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0
T20I # 1864,Australia Vs Afghanistan,Australia,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0
T20I # 1864,Australia Vs Afghanistan,Australia,Pat Cummins,4,0,22,0,5.50,12,2,0,0,0
T20I # 1864,Australia Vs Afghanistan,Australia,Marcus Stoinis,2,0,26,0,13.00,2,2,1,2,0
T20I # 1864,Australia Vs Afghanistan,Australia,Kane Richardson,4,0,48,1,12.00,4,3,3,1,0
T20I # 1864,Australia Vs Afghanistan,Australia,Adam Zampa,4,0,22,2,5.50,11,1,0,0,0
T20I # 1864,Australia Vs Afghanistan,Australia,Cameron Green,2,0,13,0,6.50,7,1,1,0,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Ben Stokes,3,0,24,1,8.00,8,1,2,0,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Chris Woakes,3,0,24,1,8.00,5,3,0,1,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Mark Wood,3,0,26,3,8.66,8,1,2,1,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Sam Curran,4,0,27,1,6.75,10,2,1,0,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Adil Rashid,4,0,16,1,4.00,11,0,0,0,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Liam Livingstone,2,0,16,0,8.00,2,0,1,0,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Moeen Ali,1,0,5,0,5.00,1,0,0,0,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Maheesh Theekshana,4,0,22,0,5.50,11,1,0,1,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Kasun Rajitha,3,0,40,0,13.33,4,5,1,2,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Wanindu Hasaranga,4,0,23,2,5.75,11,1,1,0,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Dhananjaya de Silva,4,0,24,2,6.00,7,1,0,0,0
T20I # 1867,Sri Lanka Vs England,Sri Lanka,Charith Asalanka,1,0,8,0,8.00,1,1,0,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Wayne Parnell,4,0,32,0,8.00,10,2,2,1,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Kagiso Rabada,3,0,37,0,12.33,6,7,0,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Lungi Ngidi,3,0,35,0,11.66,3,5,0,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Anrich Nortje,4,0,10,1,2.50,14,0,0,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Aiden Markram,2,0,16,1,8.00,3,0,1,1,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Fred Klaassen,4,0,20,2,5.00,15,3,0,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Paul van Meekeren,3,0,33,1,11.00,5,1,2,1,1
T20I # 1871,Netherlands Vs South Africa,Netherlands,Colin Ackermann,3,0,16,0,5.33,6,1,0,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Roelof van der Merwe,2,0,19,0,9.50,2,2,0,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Brandon Glover,2,0,9,3,4.50,5,0,0,1,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Logan van Beek,3,0,23,0,7.66,4,1,1,0,0
T20I # 1871,Netherlands Vs South Africa,Netherlands,Bas de Leede,3,0,25,2,8.33,4,1,0,1,2
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Shaheen Shah Afridi,4,0,22,4,5.50,13,2,1,0,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Naseem Shah,3,0,15,0,5.00,9,2,0,0,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Mohammad Wasim,2,0,19,0,9.50,5,1,1,1,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Haris Rauf,4,0,21,1,5.25,11,2,0,0,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Shadab Khan,4,0,30,2,7.50,8,3,0,0,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Iftikhar Ahmed,3,0,15,1,5.00,9,2,0,0,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Taskin Ahmed,3,0,26,0,8.66,10,1,2,0,1
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Nasum Ahmed,4,0,14,1,3.50,13,0,0,2,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0
T20I # 1872,Bangladesh Vs Pakistan,Bangladesh,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1
T20I # 1873,India Vs Zimbabwe,India,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1
T20I # 1873,India Vs Zimbabwe,India,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0
T20I # 1873,India Vs Zimbabwe,India,Blessing Muzarabani,4,0,50,1,12.50,5,8,0,1,0
T20I # 1873,India Vs Zimbabwe,India,Wellington Masakadza,2,0,12,0,6.00,5,1,0,1,0
T20I # 1873,India Vs Zimbabwe,India,Ryan Burl,1,0,14,0,14.00,1,1,1,0,0
T20I # 1873,India Vs Zimbabwe,India,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0
T20I # 1873,India Vs Zimbabwe,India,Sean Williams,2,0,9,2,4.50,6,0,0,2,0
T20I # 1873,India Vs Zimbabwe,India,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0
T20I # 1873,India Vs Zimbabwe,India,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0
T20I # 1873,India Vs Zimbabwe,India,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0
T20I # 1873,India Vs Zimbabwe,India,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1
T20I # 1873,India Vs Zimbabwe,India,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0
T20I # 1873,India Vs Zimbabwe,India,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0
T20I # 1877,New Zealand Vs Pakistan,New Zealand,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0
T20I # 1877,New Zealand Vs Pakistan,New Zealand,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0
T20I # 1877,New Zealand Vs Pakistan,New Zealand,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0
T20I # 1877,New Zealand Vs Pakistan,New Zealand,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0
T20I # 1877,New Zealand Vs Pakistan,New Zealand,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0
T20I # 1877,New Zealand Vs Pakistan,New Zealand,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0
T20I # 1877,New Zealand Vs Pakistan,New Zealand,Trent Boult,4,0,33,2,8.25,9,5,0,0,0
T20I # 1877,New Zealand Vs Pakistan,New Zealand,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0
